id,template_name_id,attribute_id
1,1,351
2,1,322
3,1,323
4,1,270
5,1,391
6,1,392
7,1,878
8,1,713
9,1,704
10,1,115
11,1,1
12,1,863
13,1,271
14,1,277
15,1,315
16,1,324
17,1,336
18,1,428
19,1,293
20,1,294
21,1,295
22,1,330
23,1,305
24,2,351
25,2,322
26,2,323
27,2,270
28,2,391
29,2,392
30,2,712
31,2,713
32,2,737
33,2,115
34,2,1
35,2,318
36,2,271
37,2,277
38,2,315
39,2,324
40,2,336
41,2,428
42,2,293
43,2,294
44,2,295
45,2,330
46,2,305
47,3,270
48,3,391
49,3,391
50,3,315
51,3,338
52,3,336
53,3,115
54,3,1
55,3,200
56,3,51
57,3,318
58,3,193
59,3,362
60,3,751
61,3,752
62,3,753
63,3,754
64,3,271
65,3,712
66,3,713
67,3,295
68,3,555
69,3,324
70,3,737
71,3,293
72,3,294
73,4,351
74,4,315
75,4,338
76,4,428
77,4,270
78,4,391
79,4,392
80,4,712
81,4,713
82,4,115
83,4,318
84,4,271
85,4,200
86,4,737
87,4,1
88,4,26
89,4,48
90,4,750
91,4,522
92,4,363
93,4,364
94,5,351
95,5,315
96,5,338
97,5,428
98,5,270
99,5,391
100,5,392
101,5,712
102,5,713
103,5,115
104,5,863
105,5,271
106,5,200
107,5,737
108,5,1
109,5,26
110,5,48
111,5,750
112,5,522
113,5,363
114,5,364
115,6,351
116,6,322
117,6,323
118,6,270
119,6,391
120,6,392
121,6,863
122,6,712
123,6,713
124,6,737
125,6,115
126,6,1
127,6,315
128,6,271
129,6,324
130,6,293
131,6,294
132,6,295
133,6,282
134,6,305
135,6,867
136,6,902
137,6,904
138,6,905
139,6,303
140,6,304
141,7,351
142,7,322
143,7,323
144,7,270
145,7,391
146,7,392
147,7,712
148,7,713
149,7,737
150,7,115
151,7,1
152,7,863
153,7,271
154,7,277
155,7,315
156,7,324
157,7,336
158,7,428
159,7,293
160,7,294
161,7,295
162,7,330
163,7,305
